Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,LandType,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
1873,67909,13170,61,13170_57_61,Allegheny-Cumberland Dry Oak Forest and Woodland,Dry Oak,Hardwood,123,59,15,11,9,18,73,I-B,186,184,148,0.729411765,0.721568627,0.580392157
1883,564550,13700,61,13700_53_61_62,Appalachian (Hemlock-)Northern Hardwood Forest,RB Mixed Hardwood-Toeslope (ELTP),Hardwood,1036,1083,NA,529,51,49,NA,V-B,214,255,145,0.839215686,1,0.568627451
1875,170490,13200,61,13200_48_57_61,Central and Southern Appalachian Montane Oak Forest,Dry Mesic Mixed Oak Hardwood,Hardwood,147,95,33,21,14,22,64,I-C,180,130,180,0.705882353,0.509803922,0.705882353
1878,883438,13500,61,13500_61,Central and Southern Appalachian Spruce-Fir Forest,High Elevation Spruce-Fir,Conifer,834,12028,NA,780,93,7,NA,V-B,144,43,181,0.564705882,0.168627451,0.709803922
1882,9578,13690,61,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Dry Oak,Hardwood-Conifer,182,463,15,14,8,3,89,I-B,0,255,220,0,1,0.862745098
1885,4395,13770,61,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Dry Oak,Hardwood-Conifer,412,384,4645,190,46,50,4,III-B,255,0,77,1,0,0.301960784
1887,2917,14710,61,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,RB Large River (ELTP),Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0,0.749019608,0.690196078
1888,127928,14720,61,14720_61_62_63,Central Interior and Appalachian Riparian Systems,RB Small Stream Riparian (ELTP),Riparian,1001,NA,200,166,17,NA,83,III-B,36,255,20,0.141176471,1,0.078431373
1889,6781,14790,61,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,RB Large River (ELTP),Riparian,1011,NA,1353,578,57,NA,43,V-B,207,61,255,0.811764706,0.239215686,1
1870,212920,13030,61,13030_61_63_64_65_66,Northeastern Interior Dry-Mesic Oak Forest,Dry Mesic Mixed Oak Hardwood,Hardwood,39,24,9,6,14,23,63,I-B,215,185,100,0.843137255,0.725490196,0.392156863
11,10486,11,NA,NA,Open Water,Water,Open Water,NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1
1876,42456,13210,61,13210_61_63,South-Central Interior Mesophytic Forest,RB Mixed Hardwood-Toeslope (ELTP),Hardwood,847,573,102,78,9,14,77,III-A,71,135,148,0.278431373,0.529411765,0.580392157
1874,279315,13180,61,13180_57_59_61,Southern and Central Appalachian Cove Forest,RB Mixed Hardwood-Toeslope (ELTP),Hardwood,994,498,100,77,8,15,77,III-A,138,177,255,0.541176471,0.694117647,1
1879,46,13520,61,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Xerid High Elevation LT,Conifer,88,101,5,5,6,5,89,I-A,117,71,197,0.458823529,0.278431373,0.77254902
1884,3383,13760,61,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Dry Oak,Hardwood,187,109,8,7,4,6,90,I-B,222,153,122,0.870588235,0.6,0.478431373
